TransactionID,PaymentMethod,PaymentChannel,UPIApp,PayerPhoneNumber,PayerPhoneVerified,PayerUPIID,PayeeUPIID,IsQRTransaction,QRType,PaymentReference,ContactPresent,PaymentFraudScore
TXN00001,Phone Number,Mobile-Peer,PhonePe,7104332181,True,user1@hdfc,user1@icici,0,Dynamic,REFQMAIZKQ6,True,0.046
TXN00002,UPI ID,VPA-Intent,PhonePe,7600133890,True,user2@upi,user2@hdfc,0,Static,REF1UIYW2CS,True,0.032
TXN00003,QR Code,POS/QR,PhonePe,7386379402,True,user3@paytm,user3@upi,1,Static,REFHD7YDUOS,True,0.035
TXN00004,QR Code,POS/QR,PhonePe,7654235116,True,user4@okaxis,user4@upi,1,Static,REFZ8VPEL4G,True,0.049
TXN00005,Phone Number,Mobile-Peer,PhonePe,9559407816,True,user5@hdfc,user5@sbi,0,Static,REF60N5FFM4,True,0.029
TXN00006,Phone Number,Mobile-Peer,PhonePe,9849593103,True,user6@paytm,user6@icici,0,Dynamic,REFSO1STQXV,True,0.053
TXN00007,Phone Number,Mobile-Peer,PhonePe,8131647525,True,user7@axis,user7@axis,0,Dynamic,REF2IZWV2H1,True,0.067
TXN00008,UPI ID,VPA-Intent,Google Pay,8341928327,True,user8@upi,user8@paytm,0,Static,REFWJQZLMQP,True,0.047
TXN00009,QR Code,POS/QR,Google Pay,8483503056,True,user9@axis,user9@upi,1,Dynamic,REF25PEK5GQ,True,0.034
TXN00010,QR Code,POS/QR,PhonePe,8139537672,True,user10@okaxis,user10@upi,1,Static,REF5LY5MVKY,True,0.051
TXN00011,Phone Number,Mobile-Peer,BHIM,8238849696,True,user11@sbi,user11@paytm,0,Static,REFEEV9S5QU,True,0.001
TXN00012,UPI ID,VPA-Intent,Google Pay,8328710122,True,user12@axis,user12@upi,0,Static,REFLQ361TNF,True,0.052
TXN00013,UPI ID,VPA-Intent,Paytm,7691669784,True,user13@okaxis,user13@axis,0,Static,REFBAR2CG66,True,0.015
TXN00014,Phone Number,Mobile-Peer,BHIM,7018451462,True,user14@hdfc,user14@okaxis,0,Static,REFTMIOEHPS,True,0.035
TXN00015,Phone Number,Mobile-Peer,PhonePe,8048281489,True,user15@icici,user15@okaxis,0,Static,REFAYFU4VA5,True,0.012
TXN00016,Phone Number,Mobile-Peer,Google Pay,9252880957,True,user16@okaxis,user16@paytm,0,Dynamic,REF0E93PPHV,True,0.054
